ph,max,min,fl-injector,as-injector
7.77,8,6,0,0
7.59,8,6,0,0
8.31,8,6,0,0
7.82,8,6,0,1
7.87,8,6,0,0
7.76,8,6,0,0
6.84,8,6,0,0
6.88,8,6,0,0
6.77,8,6,0,0
6.53,8,6,0,0
6.89,8,6,0,0
6.76,8,6,0,0
7.64,8,6,0,0
7.33,8,6,0,0
7.16,8,6,0,0
7.88,8,6,0,0
8.39,8,6,0,0
8.18,8,6,0,1
7.87,8,6,0,1
7.07,8,6,0,0
7.33,8,6,0,0
7.84,8,6,0,0
7.99,8,6,0,0
7.52,8,6,0,0
7.85,8,6,0,0
8.50,8,6,0,0
8.02,8,6,0,1
7.44,8,6,0,1
7.94,8,6,0,0
8.01,8,6,0,0
7.21,8,6,0,1
6.72,8,6,0,0
6.73,8,6,0,0
7.14,8,6,0,0
8.04,8,6,0,0
7.43,8,6,0,1
7.59,8,6,0,0
8.20,8,6,0,0
7.55,8,6,0,1
7.81,8,6,0,0
8.04,8,6,0,0
7.45,8,6,0,1
7.89,8,6,0,0
8.36,8,6,0,0
7.78,8,6,0,1
7.53,8,6,0,0
8.16,8,6,0,0
7.67,8,6,0,1
6.69,8,6,0,0
6.69,8,6,0,0
6.13,8,6,0,0
6.49,8,6,0,0
6.74,8,6,0,0
7.14,8,6,0,0
6.23,8,6,0,0
5.89,8,6,0,0
6.46,8,6,1,0
6.17,8,6,0,0
6.94,8,6,0,0
6.93,8,6,0,0
6.16,8,6,0,0
6.28,8,6,0,0
7.15,8,6,0,0
7.22,8,6,0,0
6.03,8,6,0,0
6.81,8,6,0,0
7.13,8,6,0,0
7.09,8,6,0,0
6.71,8,6,0,0
7.53,8,6,0,0
7.91,8,6,0,0
7.25,8,6,0,0
7.56,8,6,0,0
7.84,8,6,0,0
7.57,8,6,0,0
7.21,8,6,0,0
7.30,8,6,0,0
7.15,8,6,0,0
7.22,8,6,0,0
7.14,8,6,0,0
7.25,8,6,0,0
7.71,8,6,0,0
7.59,8,6,0,0
7.80,8,6,0,0
8.36,8,6,0,0
7.91,8,6,0,1
7.04,8,6,0,0
6.81,8,6,0,0
6.48,8,6,0,0
7.14,8,6,0,0
6.63,8,6,0,0
5.80,8,6,0,0
6.45,8,6,1,0
5.58,8,6,0,0
5.95,8,6,1,0
6.85,8,6,1,0
6.98,8,6,0,0
7.04,8,6,0,0
6.53,8,6,0,0
5.57,8,6,0,0
6.47,8,6,1,0
6.70,8,6,0,0
6.10,8,6,0,0
6.30,8,6,0,0
6.62,8,6,0,0
6.02,8,6,0,0
6.16,8,6,0,0
5.74,8,6,0,0
6.66,8,6,1,0
7.58,8,6,0,0
7.49,8,6,0,0
7.30,8,6,0,0
8.11,8,6,0,0
7.46,8,6,0,1
6.75,8,6,0,0
6.27,8,6,0,0
5.70,8,6,0,0
6.86,8,6,1,0
6.97,8,6,0,0
7.04,8,6,0,0
7.03,8,6,0,0
7.53,8,6,0,0
7.64,8,6,0,0
7.64,8,6,0,0
7.06,8,6,0,0
6.62,8,6,0,0
6.89,8,6,0,0
7.14,8,6,0,0
7.98,8,6,0,0
7.80,8,6,0,0
7.67,8,6,0,0
7.79,8,6,0,0
8.28,8,6,0,0
7.20,8,6,0,1
7.99,8,6,0,0
8.12,8,6,0,0
7.02,8,6,0,1
7.18,8,6,0,0
