humidity,max,min,humidifier,de-humidifier
74.64,90,50,0,0
94.47,90,50,0,0
80.24,90,50,0,1
80.12,90,50,0,0
79.24,90,50,0,0
98.63,90,50,0,0
88.82,90,50,0,1
83.89,90,50,0,0
86.27,90,50,0,0
84.10,90,50,0,0
90.51,90,50,0,0
71.78,90,50,0,1
79.76,90,50,0,0
56.79,90,50,0,0
60.45,90,50,0,0
85.67,90,50,0,0
99.17,90,50,0,0
93.89,90,50,0,1
69.97,90,50,0,1
81.59,90,50,0,0
73.03,90,50,0,0
50.71,90,50,0,0
54.80,90,50,0,0
54.44,90,50,0,0
49.11,90,50,0,0
61.03,90,50,1,0
57.13,90,50,0,0
53.22,90,50,0,0
42.98,90,50,0,0
66.80,90,50,1,0
85.82,90,50,0,0
87.15,90,50,0,0
89.40,90,50,0,0
86.89,90,50,0,0
77.14,90,50,0,0
77.23,90,50,0,0
63.84,90,50,0,0
84.70,90,50,0,0
95.60,90,50,0,0
88.61,90,50,0,1
116.89,90,50,0,0
97.82,90,50,0,1
77.51,90,50,0,1
91.97,90,50,0,0
73.44,90,50,0,1
69.55,90,50,0,0
83.35,90,50,0,0
66.71,90,50,0,0
51.90,90,50,0,0
31.81,90,50,0,0
46.81,90,50,1,0
59.06,90,50,1,0
55.05,90,50,0,0
56.23,90,50,0,0
65.07,90,50,0,0
56.05,90,50,0,0
48.52,90,50,0,0
58.92,90,50,1,0
66.07,90,50,0,0
84.93,90,50,0,0
87.88,90,50,0,0
95.97,90,50,0,0
68.58,90,50,0,1
53.06,90,50,0,0
69.97,90,50,0,0
75.58,90,50,0,0
81.78,90,50,0,0
60.71,90,50,0,0
59.38,90,50,0,0
37.61,90,50,0,0
62.37,90,50,1,0
47.42,90,50,0,0
72.28,90,50,1,0
78.45,90,50,0,0
70.25,90,50,0,0
